Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
prune_percent,0.0,4.000000000000004,False,True,0.5444711108316117,8.0,two-sided,0.6009599451669803,1.0,bonf,0.54,0.31102920807042767
prune_percent,0.0,7.840000000000002,False,True,0.6043809891423962,8.0,two-sided,0.5623345898453065,1.0,bonf,0.551,0.3452527355191812
prune_percent,0.0,11.526400000000002,False,True,0.25690732342357037,8.0,two-sided,0.8037341894241741,1.0,bonf,0.503,0.14675834908831134
prune_percent,0.0,15.065344000000003,False,True,-0.10492062559772193,8.0,two-sided,0.9190217033908081,1.0,bonf,0.494,-0.05993592394657979
prune_percent,0.0,18.462730240000003,False,True,0.9156987663716291,8.0,two-sided,0.3865944608438783,1.0,bonf,0.634,0.5230930649389736
prune_percent,0.0,21.724221030400003,False,True,-0.598176375518155,8.0,two-sided,0.566267690477136,1.0,bonf,0.55,-0.341708349006216
prune_percent,0.0,24.855252189184007,False,True,-0.19545470471615586,8.0,two-sided,0.8499100313686273,1.0,bonf,0.498,-0.11165353094428253
prune_percent,0.0,27.86104210161665,False,True,0.8866696191867276,8.0,two-sided,0.40112486912713785,1.0,bonf,0.625,0.5065101600239832
prune_percent,0.0,30.746600417551985,False,True,0.538242279568955,8.0,two-sided,0.6050572267335798,1.0,bonf,0.539,0.30747098722769206
prune_percent,0.0,33.51673640084991,False,True,1.7931162971338799,8.0,two-sided,0.11071135045163714,1.0,bonf,1.176,1.02431796798896
prune_percent,0.0,36.17606694481592,False,True,0.0,8.0,two-sided,1.0,1.0,bonf,0.492,0.0
prune_percent,0.0,38.72902426702328,False,True,0.1787563829543972,8.0,two-sided,0.8625730406612571,1.0,bonf,0.497,0.10211461200011246
prune_percent,0.0,41.179863296342354,False,True,1.8321037512185732,8.0,two-sided,0.10430031722073856,1.0,bonf,1.216,1.0465895572935293
prune_percent,0.0,43.53266876448867,False,True,-0.3661819609072962,8.0,two-sided,0.7237239064685377,1.0,bonf,0.514,-0.20918150301255622
prune_percent,0.0,45.79136201390912,False,True,1.1132211553988407,8.0,two-sided,0.2979411170452537,1.0,bonf,0.711,0.6359277608725703
prune_percent,0.0,47.95970753335276,False,True,0.06799390093914746,8.0,two-sided,0.9474591909111103,1.0,bonf,0.493,0.038841526652205804
prune_percent,0.0,50.04131923201864,False,True,2.366328350839656,8.0,two-sided,0.0455064740166029,1.0,bonf,1.97,1.351765444216343
prune_percent,4.000000000000004,7.840000000000002,False,True,-0.013837765707730942,8.0,two-sided,0.9892982833216024,1.0,bonf,0.492,-0.007904825846436427
prune_percent,4.000000000000004,11.526400000000002,False,True,-0.3610634095039602,8.0,two-sided,0.7274010726898098,1.0,bonf,0.513,-0.20625752971484398
prune_percent,4.000000000000004,15.065344000000003,False,True,-0.5625932358975655,8.0,two-sided,0.5891252786708787,1.0,bonf,0.543,-0.3213814748770316
prune_percent,4.000000000000004,18.462730240000003,False,True,0.1766138777722098,8.0,two-sided,0.8642009390518595,1.0,bonf,0.497,0.10089070557634515
prune_percent,4.000000000000004,21.724221030400003,False,True,-0.9438839848751538,8.0,two-sided,0.37285771915542726,1.0,bonf,0.644,-0.5391938754614155
prune_percent,4.000000000000004,24.855252189184007,False,True,-0.6074934497121147,8.0,two-sided,0.5603675622241338,1.0,bonf,0.552,-0.34703072911129557
prune_percent,4.000000000000004,27.86104210161665,False,True,0.4826655273195562,8.0,two-sided,0.642263652207671,1.0,bonf,0.53,0.2757227587259913
prune_percent,4.000000000000004,30.746600417551985,False,True,0.09562233633865137,8.0,two-sided,0.9261724228634194,1.0,bonf,0.494,0.0546242747385231
prune_percent,4.000000000000004,33.51673640084991,False,True,0.6358218825401377,8.0,two-sided,0.5426493776466994,1.0,bonf,0.558,0.3632133508392301
