stream,prune_percent,mean_accuracy,std_dev
spatial,0.0,74.80990703482726,0.10976045712140226
spatial,4.000000000000004,74.75995559872347,0.17331062005347359
spatial,7.840000000000002,74.76134313861523,0.14225244795633535
spatial,11.526400000000002,74.7925627861801,0.10364258920046868
spatial,15.065344000000003,74.81892604412376,0.1577926324235347
spatial,18.462730240000003,74.7433051200222,0.12001417990846582
spatial,21.724221030400003,74.86887748022755,0.19117107496235355
spatial,24.855252189184007,74.82863882336618,0.1840550876754983
spatial,27.86104210161665,74.68710975440544,0.2895752039975338
spatial,30.746600417551985,74.74746773969753,0.23503088883620368
spatial,33.51673640084991,74.70722908283612,0.0659355248277458
spatial,36.17606694481592,74.80990703482726,0.16587849350960346
spatial,38.72902426702328,74.78493131677536,0.29250652403966315
spatial,41.179863296342354,74.64270847786874,0.1720318659910849
spatial,43.53266876448867,74.8570833911475,0.26635029055425663
spatial,45.79136201390912,74.707922852782,0.17296312277149087
spatial,47.95970753335276,74.80088802553072,0.27554547502465443
spatial,50.04131923201864,74.5754127931178,0.19249146934036235
