Source,SS,DF,MS,F,p-unc,np2
prune_percent,8.051974741446869e-05,3,2.6839915804822895e-05,2.4101703565962347,0.10490193503437258,0.31125062414971955
Within,0.00017817771748036991,16,1.113610734252312e-05,,,
