Source,SS,DF,MS,F,p-unc,np2
prune_percent,0.4842142645762132,17,0.028483192033894895,0.75094698491425,0.7404824559994156,0.15060382550063756
Within,2.7309382255188233,72,0.03792969757665032,,,
