run_id,fusion_type,pruned,prune_amount,test_accuracy,svm_model_path
run1,softmax,pruned,36_18percent,80.09,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run1__pruned_36_18percent_softmax_fusion_svm_acc_80.09.joblib
run2,softmax,pruned,36_18percent,79.26,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run2__pruned_36_18percent_softmax_fusion_svm_acc_79.26.joblib
run3,softmax,pruned,36_18percent,79.8,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run3__pruned_36_18percent_softmax_fusion_svm_acc_79.80.joblib
run1,softmax,pruned,38_73percent,78.21,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run1__pruned_38_73percent_softmax_fusion_svm_acc_78.21.joblib
run2,softmax,pruned,38_73percent,78.8,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run2__pruned_38_73percent_softmax_fusion_svm_acc_78.80.joblib
run3,softmax,pruned,38_73percent,79.69,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run3__pruned_38_73percent_softmax_fusion_svm_acc_79.69.joblib
run1,softmax,pruned,41_18percent,78.96,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run1__pruned_41_18percent_softmax_fusion_svm_acc_78.96.joblib
run2,softmax,pruned,41_18percent,79.47,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run2__pruned_41_18percent_softmax_fusion_svm_acc_79.47.joblib
run3,softmax,pruned,41_18percent,78.8,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run3__pruned_41_18percent_softmax_fusion_svm_acc_78.80.joblib
run1,softmax,pruned,43_53percent,79.12,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run1__pruned_43_53percent_softmax_fusion_svm_acc_79.12.joblib
run2,softmax,pruned,43_53percent,78.72,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run2__pruned_43_53percent_softmax_fusion_svm_acc_78.72.joblib
run3,softmax,pruned,43_53percent,79.18,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run3__pruned_43_53percent_softmax_fusion_svm_acc_79.18.joblib
run1,softmax,pruned,45_79percent,79.5,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run1__pruned_45_79percent_softmax_fusion_svm_acc_79.50.joblib
run2,softmax,pruned,45_79percent,78.99,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run2__pruned_45_79percent_softmax_fusion_svm_acc_78.99.joblib
run3,softmax,pruned,45_79percent,79.55,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run3__pruned_45_79percent_softmax_fusion_svm_acc_79.55.joblib
run4,softmax,pruned,4_00percent,78.69,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_4_00percent_softmax_fusion_svm_acc_78.69.joblib
run1,softmax,pruned,47_96percent,78.45,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run1__pruned_47_96percent_softmax_fusion_svm_acc_78.45.joblib
run5,softmax,pruned,4_00percent,78.74,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_4_00percent_softmax_fusion_svm_acc_78.74.joblib
run2,softmax,pruned,47_96percent,79.01,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run2__pruned_47_96percent_softmax_fusion_svm_acc_79.01.joblib
run4,softmax,pruned,7_84percent,78.5,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_7_84percent_softmax_fusion_svm_acc_78.50.joblib
run3,softmax,pruned,47_96percent,79.69,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run3__pruned_47_96percent_softmax_fusion_svm_acc_79.69.joblib
run5,softmax,pruned,7_84percent,78.39,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_7_84percent_softmax_fusion_svm_acc_78.39.joblib
run1,softmax,pruned,50_04percent,79.28,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run1__pruned_50_04percent_softmax_fusion_svm_acc_79.28.joblib
