stream,prune_percent,value
spatial,4.000000000000004,-0.44317133649548174
spatial,7.840000000000002,-0.2660760420950957
spatial,11.526400000000002,-0.11332945501390074
spatial,15.065344000000003,0.036526366044768395
spatial,18.462730240000003,-0.3709357241305421
spatial,21.724221030400003,0.20213759411853596
spatial,24.855252189184007,0.17810049633367114
spatial,27.86104210161665,-0.5908787649550175
spatial,30.746600417551985,-0.27515410078683317
spatial,33.51673640084991,-1.224542232679884
spatial,36.17606694481592,0.0
spatial,38.72902426702328,-0.08361529077662494
spatial,41.179863296342354,-0.6614728848447126
spatial,43.53266876448867,0.17627734568672002
spatial,45.79136201390912,-0.46164598731540857
spatial,47.95970753335276,-0.028561428131447724
spatial,50.04131923201864,-2.2405488883536853
