Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
prune_percent,0.0,21.72,False,True,-2.3646317648397037,8.0,two-sided,0.045627145949729137,0.2737628756983748,bonf,1.967,-1.3507962691958675
prune_percent,0.0,24.86,False,True,-2.015303174779677,8.0,two-sided,0.07862913877758686,0.4717748326655211,bonf,1.426,-1.1512422569420717
prune_percent,0.0,43.53,False,True,-2.0526275374749288,8.0,two-sided,0.07420480081939339,0.4452288049163603,bonf,1.475,-1.1725638050277112
prune_percent,21.72,24.86,False,True,0.6443814117905162,8.0,two-sided,0.5373620287785047,1.0,bonf,0.56,0.3681029832756226
prune_percent,21.72,43.53,False,True,0.19842652488556645,8.0,two-sided,0.8476611147265658,1.0,bonf,0.499,0.11335118368550459
prune_percent,24.86,43.53,False,True,-0.3879166840167442,8.0,two-sided,0.7081955799088215,1.0,bonf,0.516,-0.22159746702217353
