Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
prune_percent,0.0,4.000000000000004,False,True,-0.38852949140575,8.0,two-sided,0.7077598164667784,1.0,bonf,0.516,-0.22194753333994577
prune_percent,0.0,7.840000000000002,False,True,1.2284942291619076,8.0,two-sided,0.25417289702920626,1.0,bonf,0.765,0.7017775224689372
prune_percent,0.0,11.526400000000002,False,True,0.09302884632182326,8.0,two-sided,0.9281682144619575,1.0,bonf,0.494,0.05314274315672705
prune_percent,0.0,15.065344000000003,False,True,0.0340360578393293,8.0,two-sided,0.9736822958561302,1.0,bonf,0.493,0.019443103417253395
prune_percent,0.0,18.462730240000003,False,True,0.3270449071850917,8.0,two-sided,0.7520270309512305,1.0,bonf,0.509,0.18682445489142702
prune_percent,0.0,21.724221030400003,False,True,0.6327294527585593,8.0,two-sided,0.5445672276356047,1.0,bonf,0.557,0.36144679983800493
prune_percent,0.0,24.855252189184007,False,True,1.7151949391914434,8.0,two-sided,0.12465053407445828,1.0,bonf,1.102,0.9798053799554255
prune_percent,0.0,27.86104210161665,False,True,0.9116472431939925,8.0,two-sided,0.38859912424178733,1.0,bonf,0.633,0.5207786316837462
prune_percent,0.0,30.746600417551985,False,True,0.9393250674751763,8.0,two-sided,0.3750548464943657,1.0,bonf,0.642,0.5365895931765249
prune_percent,0.0,33.51673640084991,False,True,1.5195019679104451,8.0,two-sided,0.16712182839126663,1.0,bonf,0.943,0.8680157391983389
prune_percent,0.0,36.17606694481592,False,True,1.6984020857015332,8.0,two-sided,0.1278617025960558,1.0,bonf,1.087,0.9702124597466161
prune_percent,0.0,38.72902426702328,False,True,2.59007908765817,8.0,two-sided,0.03210916101040147,1.0,bonf,2.441,1.4795830879689058
prune_percent,0.0,41.179863296342354,False,True,0.9738895720267763,8.0,two-sided,0.3586348253990576,1.0,bonf,0.655,0.5563345718616394
prune_percent,0.0,43.53266876448867,False,True,1.4175252922768677,8.0,two-sided,0.1940791580677888,1.0,bonf,0.874,0.8097615471338204
prune_percent,0.0,45.79136201390912,False,True,1.5848945627477393,8.0,two-sided,0.15165007728634097,1.0,bonf,0.992,0.9053712693289433
prune_percent,0.0,47.95970753335276,False,True,2.5196340459882625,8.0,two-sided,0.03582919343832988,1.0,bonf,2.28,1.4393413467870568
prune_percent,0.0,50.04131923201864,False,True,1.3908635476458049,8.0,two-sided,0.20173048310221653,1.0,bonf,0.857,0.7945310213016793
prune_percent,4.000000000000004,7.840000000000002,False,True,2.0636832226909285,8.0,two-sided,0.07294146134790486,1.0,bonf,1.489,1.1788793669537723
prune_percent,4.000000000000004,11.526400000000002,False,True,0.8036162091023933,8.0,two-sided,0.444838208805274,1.0,bonf,0.6,0.4590658863937006
prune_percent,4.000000000000004,15.065344000000003,False,True,0.49503789344648513,8.0,two-sided,0.6338820094993639,1.0,bonf,0.532,0.28279047483041136
prune_percent,4.000000000000004,18.462730240000003,False,True,1.107159132857116,8.0,two-sided,0.3004013954063382,1.0,bonf,0.708,0.6324648295380172
prune_percent,4.000000000000004,21.724221030400003,False,True,2.333508893268495,8.0,two-sided,0.04789859714951186,1.0,bonf,1.91,1.333017323894462
prune_percent,4.000000000000004,24.855252189184007,False,True,2.684477650097462,8.0,two-sided,0.02773290420068557,1.0,bonf,2.676,1.5335082816741052
prune_percent,4.000000000000004,27.86104210161665,False,True,3.05237856848934,8.0,two-sided,0.015763979160203258,1.0,bonf,3.849,1.7436717394212655
prune_percent,4.000000000000004,30.746600417551985,False,True,1.900334386496631,8.0,two-sided,0.09391951206900939,1.0,bonf,1.289,1.0855663184742332
prune_percent,4.000000000000004,33.51673640084991,False,True,3.541015896677135,8.0,two-sided,0.007608562351694439,1.0,bonf,6.282,2.0228058903365795
prune_percent,4.000000000000004,36.17606694481592,False,True,5.895610961183347,8.0,two-sided,0.00036353981486732744,0.0556215916747011,bonf,59.547,3.367868692881483
prune_percent,4.000000000000004,38.72902426702328,False,True,4.211034202356835,8.0,two-sided,0.002951702001639176,0.4516104062507939,bonf,12.251,2.4055539532961534
prune_percent,4.000000000000004,41.179863296342354,False,True,1.7613372433236512,8.0,two-sided,0.11620989586703565,1.0,bonf,1.145,1.00616417847986
prune_percent,4.000000000000004,43.53266876448867,False,True,5.455876246764256,8.0,two-sided,0.0006044782951873911,0.09248517916367084,bonf,40.108,3.116670167806487
prune_percent,4.000000000000004,45.79136201390912,False,True,2.5797211555340813,8.0,two-sided,0.032630465101126854,1.0,bonf,2.416,1.4736661176068202
prune_percent,4.000000000000004,47.95970753335276,False,True,3.9441127926068122,8.0,two-sided,0.0042711605676201275,0.6534875668458795,bonf,9.403,2.2530750558119714
prune_percent,4.000000000000004,50.04131923201864,False,True,2.6487515021501276,8.0,two-sided,0.029312528426477545,1.0,bonf,2.584,1.5130997140156774
prune_percent,7.840000000000002,11.526400000000002,False,True,-1.394288243609092,8.0,two-sided,0.20073316082232867,1.0,bonf,0.859,-0.7964873794116922
prune_percent,7.840000000000002,15.065344000000003,False,True,-1.2761165602246922,8.0,two-sided,0.2377140467914874,1.0,bonf,0.79,-0.7289817866112575
prune_percent,7.840000000000002,18.462730240000003,False,True,-1.1045758266634824,8.0,two-sided,0.3014547415582477,1.0,bonf,0.707,-0.6309891154668297
prune_percent,7.840000000000002,21.724221030400003,False,True,-0.9711454798965672,8.0,two-sided,0.35991840409651243,1.0,bonf,0.654,-0.5547670087987845
