Source,SS,DF,MS,F,p-unc,np2
prune_percent,0.0031419528864344566,3,0.0010473176288114856,2.158686922719808,0.13552567013721392,0.30154788804476107
Within,0.0072774631035328555,15,0.0004851642069021904,,,
