run_id,prune_percent,accuracy,label
run1,0.0,74.8959345081171174,baseline unpruned
run3,0.0,74.79880671569308,baseline unpruned
run4,0.0,74.72249202164562,baseline unpruned
run2,0.0,74.68780352435132,baseline unpruned
run5,0.0,74.94449840432912,baseline unpruned
run1,4.0000000000000036,74.78146246704593,pruned
run3,4.0000000000000036,74.65658387678646,pruned
run4,4.0000000000000036,74.8022755654225,pruned
run2,4.0000000000000036,74.54904953517413,pruned
run5,4.0000000000000036,75.01040654918829,pruned
run1,7.8400000000000025,74.71555432218676,pruned
run3,7.8400000000000025,74.83349521298737,pruned
run4,7.8400000000000025,74.5455806854447,pruned
run2,7.8400000000000025,74.92368530595255,pruned
run5,7.8400000000000025,74.78840016650479,pruned
run1,11.526400000000002,74.91674760649369,pruned
run3,11.526400000000002,74.73289857083391,pruned
run4,11.526400000000002,74.69474122381018,pruned
run2,11.526400000000002,74.89246565838768,pruned
run5,11.526400000000002,74.72596087137505,pruned
run1,15.065344000000003,74.67045927570418,pruned
run3,15.065344000000003,74.82655751352851,pruned
run4,15.065344000000003,74.75718051893992,pruned
run2,15.065344000000003,75.08325239350631,pruned
run5,15.065344000000003,74.75718051893992,pruned
run1,18.462730240000003,74.84390176217566,pruned
run3,18.462730240000003,74.8022755654225,pruned
run4,18.462730240000003,74.61842652976273,pruned
run2,18.462730240000003,74.84390176217566,pruned
run5,18.462730240000003,74.60801998057444,pruned
run1,21.724221030400003,74.59761343138615,pruned
run3,21.724221030400003,74.91674760649369,pruned
run4,21.724221030400003,74.96184265297627,pruned
run2,21.724221030400003,75.09712779242403,pruned
run5,21.724221030400003,74.77105591785764,pruned
run1,24.855252189184007,74.98265575135285,pruned
run4,24.855252189184007,74.57333148328014,pruned
run3,24.855252189184007,74.92368530595255,pruned
run2,24.855252189184007,74.69474122381018,pruned
run5,24.855252189184007,74.96878035243513,pruned
run1,27.86104210161665,75.13528513944776,pruned
run4,27.86104210161665,74.49007908977383,pruned
run3,27.86104210161665,74.58373803246843,pruned
run2,27.86104210161665,74.42070209518523,pruned
run5,27.86104210161665,74.80574441515193,pruned
run1,30.746600417551985,74.86124601082281,pruned
run4,30.746600417551985,74.66699042597475,pruned
run3,30.746600417551985,74.37213819897322,pruned
run2,30.746600417551985,74.88552795892882,pruned
run5,30.746600417551985,74.95143610378798,pruned
run1,33.51673640084991,74.75371166921049,pruned
run4,33.51673640084991,74.73289857083391,pruned
run3,33.51673640084991,74.72942972110448,pruned
run2,33.51673640084991,74.59067573192729,pruned
run5,33.51673640084991,74.72942972110448,pruned
run1,36.17606694481592,75.03815734702373,pruned
run4,36.17606694481592,74.58373803246843,pruned
run3,36.17606694481592,74.85430831136395,pruned
run2,36.17606694481592,74.83002636325794,pruned
run5,36.17606694481592,74.7433051200222,pruned
run1,38.729024267023284,74.39988899680866,pruned
run4,38.729024267023284,74.99306230054114,pruned
run3,38.729024267023284,74.79880671569308,pruned
run2,38.729024267023284,74.60455113084501,pruned
run5,38.729024267023284,75.1283474399889,pruned
run5,41.179863296342354,74.6149576800333,pruned
run2,41.179863296342354,74.78840016650479,pruned
run3,41.179863296342354,74.80574441515193,pruned
run4,41.179863296342354,74.62536422922159,pruned
run1,41.179863296342354,74.37907589843208,pruned
run5,43.53266876448867,74.7086166227279,pruned
run2,43.53266876448867,75.0,pruned
run4,43.53266876448867,74.5455806854447,pruned
run3,43.53266876448867,74.79880671569308,pruned
run1,43.53266876448867,75.23241293187179,pruned
run1,45.79136201390912,74.44151519356181,pruned
run3,45.79136201390912,74.68780352435132,pruned
run4,45.79136201390912,74.68780352435132,pruned
run2,45.79136201390912,74.84043291244623,pruned
run5,45.79136201390912,74.88205910919939,pruned
run1,47.959707533352756,74.65311502705703,pruned
run4,47.959707533352756,74.43457749410295,pruned
run3,47.959707533352756,74.93756070487026,pruned
run2,47.959707533352756,75.15956708755377,pruned
run5,47.959707533352756,74.81961981406965,pruned
run1,50.041319232018644,74.78493131677536,pruned
run4,50.041319232018644,74.36173164978493,pruned
run3,50.041319232018644,74.47620369085611,pruned
run2,50.041319232018644,74.47967254058554,pruned
run5,50.041319232018644,74.77452476758707,pruned
